era,task_id,classification,status,created_at,completed_at,latency_min,dispatch_or_retry
wg-era,t_592b567888b3,work,done,2026-05-19T12:35:13.109488849+00:00,2026-05-19T12:58:36.506972319+00:00,23.4,1
wg-era,t_b8e36c9e87ba,governance,done,2026-05-19T13:18:38.788943544+00:00,2026-05-19T13:29:23.180423127+00:00,10.7,1
wg-era,t_083a8628e313,governance,done,2026-05-19T15:37:54.740021626+00:00,2026-05-19T15:41:12.177625428+00:00,3.3,1
wg-era,t_539cb3842ef5,governance,done,2026-05-19T15:42:20.862501407+00:00,2026-05-19T15:45:32.372938256+00:00,3.2,1
wg-era,t_8879f91da28d,work,done,2026-05-19T16:31:55.256665113+00:00,2026-05-19T16:37:35.748387965+00:00,5.7,1
wg-era,t_da308220b4eb,work,done,2026-05-19T16:55:35.819503631+00:00,2026-05-19T17:10:49.200592677+00:00,15.2,1
wg-era,t_0ba3e98b087b,work,done,2026-05-19T20:31:24.072664215+00:00,2026-05-19T20:38:05.196071277+00:00,6.7,1
wg-era,t_f035f4246255,work,done,2026-05-19T20:31:32.061547480+00:00,2026-05-19T20:44:12.688198441+00:00,12.7,1
wg-era,t_b4e21dd79f7d,work,done,2026-05-19T20:32:11.729678871+00:00,2026-05-19T20:58:34.305450684+00:00,26.4,1
wg-era,t_b6337cbea868,work,done,2026-05-19T20:32:36.118508794+00:00,2026-05-19T21:01:54.499856896+00:00,29.3,1
wg-era,t_efc2d58ca0c1,work,done,2026-05-19T20:32:53.678752654+00:00,2026-05-19T21:08:46.140773002+00:00,35.9,1
wg-era,t_3ac1624b8937,work,done,2026-05-19T20:33:05.293703640+00:00,2026-05-19T21:28:35.883712118+00:00,55.5,1
wg-era,t_0d802ffb4742,work,done,2026-05-19T21:05:43.523689578+00:00,2026-05-19T21:36:23.800647976+00:00,30.7,1
wg-era,t_592fbc0aa2f3,work,done,2026-05-19T22:06:06.448863731+00:00,2026-05-19T22:09:10.478452520+00:00,3.1,1
wg-era,t_3f06fa89bc6d,work,done,2026-05-19T22:14:59.175244855+00:00,2026-05-19T22:23:46.632149389+00:00,8.8,1
wg-era,t_fbd85685ecf6,work,done,2026-05-19T22:14:55.671140654+00:00,2026-05-19T22:24:17.481880850+00:00,9.4,1
wg-era,t_3879f5fb4293,work,done,2026-05-19T22:14:51.587372921+00:00,2026-05-19T22:25:55.239215084+00:00,11.1,1
wg-era,t_f6576c30d110,work,done,2026-05-19T22:15:03.776429147+00:00,2026-05-19T22:26:49.090906953+00:00,11.8,1
wg-era,t_ff49ec10fd18,work,done,2026-05-19T22:15:23.000434251+00:00,2026-05-19T22:36:18.211487884+00:00,20.9,1
wg-era,t_ee79241a2aea,work,done,2026-05-19T22:15:33.492905474+00:00,2026-05-19T22:45:23.985317158+00:00,29.8,1
wg-era,t_7b4e487ac5d1,work,done,2026-05-19T22:15:38.468796724+00:00,2026-05-19T22:52:59.085186196+00:00,37.3,1
wg-era,t_58165b8e058f,work,done,2026-05-19T22:15:47.547416876+00:00,2026-05-19T23:10:42.180415767+00:00,54.9,1
wg-era,t_0dcb9a54b87c,work,done,2026-05-20T10:01:10.660219288+00:00,2026-05-20T10:04:22.571417701+00:00,3.2,1
wg-era,t_2adfb473ffda,work,done,2026-05-20T15:39:00.754259461+00:00,2026-05-20T15:42:45.875491062+00:00,3.8,1
wg-era,t_be6b74c44742,work,done,2026-05-20T15:39:41.292268153+00:00,2026-05-20T15:52:23.988094392+00:00,12.7,1
wg-era,t_04a379909bbb,work,done,2026-05-20T18:53:22.606325510+00:00,2026-05-20T18:57:58.184376530+00:00,4.6,1
wg-era,t_f0c6728d73a4,work,done,2026-05-20T18:53:06.145284039+00:00,2026-05-20T18:58:25.547232917+00:00,5.3,1
wg-era,t_a21ee9483238,work,done,2026-05-20T18:53:34.307027921+00:00,2026-05-20T19:06:52.410656499+00:00,13.3,1
wg-era,t_12ad17d5db3b,governance,done,2026-05-20T20:08:54.025801621+00:00,2026-05-20T20:12:28.763698530+00:00,3.6,1
wg-era,t_5671bdd432e3,work,done,2026-05-20T20:52:51.680827120+00:00,2026-05-21T11:35:49.688757605+00:00,883.0,1
wg-era,t_4a35822a2e23,work,done,2026-05-20T20:10:26.746029287+00:00,2026-05-21T11:38:15.709988334+00:00,927.8,1
wg-era,t_f9ac43f74dfd,work,done,2026-05-21T11:37:46.842007111+00:00,2026-05-21T11:43:44.898357888+00:00,6.0,1
wg-era,t_aa733de6e026,work,done,2026-05-21T11:43:32.508571777+00:00,2026-05-21T11:46:29.406306802+00:00,2.9,1
wg-era,t_83f42fccb4c9,work,done,2026-05-20T20:10:36.200489544+00:00,2026-05-21T11:48:45.077744128+00:00,938.1,1
wg-era,t_2ed8600acb04,work,done,2026-05-21T12:02:34.009648896+00:00,2026-05-21T12:15:47.986473045+00:00,13.2,1
wg-era,t_7b1062286636,work,done,2026-05-21T12:02:59.570404085+00:00,2026-05-21T12:41:18.378871658+00:00,38.3,1
wg-era,t_6a301f7a30e7,work,done,2026-05-21T12:03:11.346441029+00:00,2026-05-21T12:57:11.485518576+00:00,54.0,1
wg-era,t_52dbc24cb70d,work,done,2026-05-21T12:53:53.108528070+00:00,2026-05-21T13:05:22.592240183+00:00,11.5,1
wg-era,t_bbd000a5a51c,governance,done,2026-05-22T15:45:06.946946403+00:00,2026-05-22T15:49:11.592282129+00:00,4.1,1
